AIRLINE,COUNTRY,INFORMATION
AB Airlines,  United Kingdom, inactive (with supported aircraft)
Aba Air,  Czech Republic, inactive (with supported aircraft)
ABC Air Hungary,  Hungary, inactive (with supported aircraft)
Abelag Airways,  Belgium, inactive (with supported aircraft)
ABS Jets,  Czech Republic,  4 aircraft 
ABSA Cargo,  Brazil, inactive (with supported aircraft)Renamed / Merged to LATAM Cargo Brasil
Abu Dhabi Amiri Flight,  United Arab Emirates,  5 aircraft 
Abu Dhabi Aviation,  United Arab Emirates,  5 aircraft 
Abu Dhabi Gvmt,  United Arab Emirates, inactive (with supported aircraft)
ABX Air,  USA,  26 aircraft 
Accessair,  USA, inactive (with supported aircraft)
ACE Air Charter Express,  USA,  8 aircraft 
ACE Air Charters,  Netherlands, inactive (with supported aircraft)
ACE Belgium Freighters,  Belgium, inactive (with supported aircraft)Renamed / Merged to Challenge Airlines
ACES Colombia,  Colombia, inactive (with supported aircraft)
ACM Air Charter,  Germany,  1 aircraft 
Acropolis Aviation,  United Kingdom,  1 aircraft 
ACT Airlines,  Turkey,  4 aircraft Renamed / Merged to MyCargo Airlines
Acvila Air,  Romania, inactive (with supported aircraft)Renamed / Merged to JetranAir
Ada Air,  Albania, inactive (with supported aircraft)
AdamAir,  Indonesia, inactive (with supported aircraft)
ADC Airlines,  Nigeria, inactive (with supported aircraft)
ADI Aerodynamics,  USA, inactive (with supported aircraft)
Adorna Airways,  Malaysia, inactive (with supported aircraft)
Adria Airways,  Slovenia, inactive (with supported aircraft)
AeBal - Aerolineas Baleares,  Spain, inactive (with supported aircraft)Renamed / Merged to Quantum Air
Aegean Airlines,  Greece,  59 aircraft 
Aegean Aviation,  Greece, inactive (with supported aircraft)Renamed / Merged to Aegean Airlines
Aegean Cronus Airlines,  Greece, inactive (with supported aircraft)Renamed / Merged to Aegean Airlines
Aeolian Airlines,  Greece, inactive (with supported aircraft)
Aeolus Air,  Gambia, inactive (with supported aircraft)
Aer Arann,  Ireland, inactive (with supported aircraft)Renamed / Merged to Stobart Air
Aer Lingus,  Ireland,  54 aircraft 
Aer Lingus UK,  United Kingdom,  2 aircraft 
Aer Lucht,  Ireland, inactive (with supported aircraft)
